,Precio Bolsa Nacional ($/kWh) 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
37,2003-02-05,74.255438,74.255438,74.255438,74.255438,74.255438,76.155438,76.255438,76.255438,76.255438,76.255438,76.664438,76.664438,76.255438,76.255438,76.255438,76.255438,76.255438,76.255438,76.664438,80.255438,76.664438,76.664438,76.255438,75.755438
38,2003-02-06,76.155438,75.755438,75.255438,75.255438,76.155438,76.157438,76.664438,76.664438,76.664438,76.664438,76.664438,76.664438,76.664438,76.664438,76.664438,76.664438,76.664438,76.664438,77.155438,79.155438,77.255438,76.664438,76.157438,76.156438
39,2003-02-07,74.955438,74.955438,74.955438,74.955438,74.955438,76.156438,76.156438,76.255438,76.255438,76.255438,76.255438,76.664438,76.255438,76.255438,76.664438,76.255438,76.664438,76.255438,76.664438,76.664438,76.664438,76.664438,76.156438,74.955438
40,2003-02-08,74.905438,74.905438,74.905438,74.905438,74.905438,75.255438,76.156438,76.156438,76.156438,76.156438,76.156438,77.254438,76.156438,76.156438,76.156438,76.156438,76.156438,76.156438,77.254438,77.254438,77.254438,77.254438,76.156438,74.905438
41,2003-02-09,73.255438,73.255438,73.255438,73.255438,73.255438,73.255438,73.255438,73.255438,75.155438,75.155438,75.155438,75.155438,75.155438,75.155438,73.255438,73.255438,73.255438,73.255438,75.155438,77.256438,77.256438,75.155438,75.155438,73.255438
42,2003-02-10,72.255438,72.255438,69.255438,69.255438,72.255438,72.745438,73.255438,73.255438,73.255438,73.255438,74.255438,74.255438,73.255438,73.255438,73.255438,73.255438,73.255438,73.255438,74.255438,74.255438,74.255438,74.255438,73.155438,72.255438
43,2003-02-11,71.755438,71.755438,71.755438,71.755438,71.755438,71.755438,72.155438,72.155438,72.155438,72.155438,72.155438,72.355438,72.155438,72.155438,72.155438,72.155438,72.155438,72.155438,72.355438,72.355438,72.355438,72.355438,71.755438,71.755438
44,2003-02-12,71.355438,71.255438,71.255438,71.255438,71.355438,71.355438,71.745438,71.355438,71.355438,71.745438,71.745438,72.255438,71.355438,71.355438,71.355438,71.355438,71.355438,71.745438,72.255438,72.255438,72.255438,72.255438,71.355438,71.355438
45,2003-02-13,71.155438,69.235438,69.235438,69.235438,71.155438,71.155438,72.755438,72.755438,72.755438,72.755438,72.755438,72.805438,72.755438,72.755438,72.755438,72.755438,72.755438,72.755438,72.805438,72.805438,72.805438,72.805438,71.155438,71.155438
46,2003-02-14,37.013438,37.013438,37.013438,37.013438,37.013438,67.755438,67.765438,67.765438,67.765438,67.765438,67.765438,67.775438,67.765438,67.765438,67.765438,67.765438,67.765438,67.765438,72.255438,74.255438,72.255438,72.255438,67.765438,67.255438
